variable,distribution,lower,median,upper,label,
n_year,const,4,,4,number of years for simulation,
var_CV,tnorm_0_1,0.1,,0.3,Coefficient of variation (%),
,,,,,,
total_egg_serving_per_year_all_athletes,posnorm,1500000,,6800000,total yearly servings of egg provided for all athletes (serve),
total_dairy_serving_per_year_all_athletes,posnorm,730000,,3300000,total yearly servings of dairy provided for all athletes (serve),
total_sandwich_serving_per_year_all_athletes,posnorm,1500000,,6500000,total yearly servings of sandwich provided for all athletes (serve),
total_vegetable_mushroom_serving_per_year_all_athletes,posnorm,840000,,1700000,total yearly servings of vegetable/mushroom provided for all athletes (serve),
total_bean_nut_serving_per_year_all_athletes,posnorm,560000,,1100000,total yearly servings of bean/nut provided for all athletes (serve),
total_fruit_serving_per_year_all_athletes,posnorm,560000,,1100000,total yearly servings of fruit provided for all athletes (serve),
total_sports_drink_serving_per_year_all_athletes,posnorm,360000,,950000,total yearly servings of sports drink provided for all athletes (serve),
total_chicken_serving_per_year_all_athletes,posnorm,180000,,480000,total yearly servings of chicken provided for all athletes (serve),
total_pork_serving_per_year_all_athletes,posnorm,180000,,470000,total yearly servings of pork provided for all athletes (serve),
total_beef_serving_per_year_all_athletes,posnorm,180000,,490000,total yearly servings of beef provided for all athletes (serve),
total_fish_serving_per_year_all_athletes,posnorm,170000,,470000,total yearly servings of fish provided for all athletes (serve),
total_prawn_serving_per_year_all_athletes,posnorm,180000,,470000,total yearly servings of prawn provided for all athletes (serve),
total_rice_noodle_serving_per_year_all_athletes,posnorm,1300000,,3900000,total yearly servings of rice/noodle provided for all athletes (serve),
total_fat_oil_serving_per_year_all_athletes,norm,-5500000,,4300000,total yearly servings of fat/oil provided or reduced for all athletes (serve),Here got negative lower end because some food have high fat content. In that case need to cut down the fat/oil serving. This can be avoided if I don?t group foods together and assign different frequency for high fat food items. But that will need more coding and calculation- I don?t intend to go that detail for an exercise. 
,,,,,,
prior_knowledge_ch_1,tnorm_0_1,0.8,,0.99,chance of all athletes having good prior knowledge of chapter 1 content (%),
prior_knowledge_ch_2,tnorm_0_1,0.5,,0.8,chance of all athletes having good prior knowledge of chapter 2 content (%),
prior_knowledge_ch_3,tnorm_0_1,0.3,,0.5,chance of all athletes having good prior knowledge of chapter 3 content (%),
prior_knowledge_ch_4,tnorm_0_1,0.1,,0.3,chance of all athletes having good prior knowledge of chapter 4 content (%),
weight_contribution_ch_1,tnorm_0_1,0.1,,0.3,percent importance of having prior knowledge of ch1 to successful training (%),
weight_contribution_ch_2,tnorm_0_1,0.1,,0.3,percent importance of having prior knowledge of ch2 to successful training (%),
weight_contribution_ch_3,tnorm_0_1,0.2,,0.4,percent importance of having prior knowledge of ch3 to successful training (%),
weight_contribution_ch_4,tnorm_0_1,0.2,,0.4,percent importance of having prior knowledge of ch4 to successful training (%),
,,,,,,
chance_of_good_learning_hour,tnorm_0_1,0.7,,0.9,chance of training held at appropriate time and duration (%),
weight_learning_hour_to_interest_in_class,tnorm_0_1,0.5,,0.8,percent importance of having good learning hour to the successful training (%),
,,,,,,
chance_of_good_learning_material,tnorm_0_1,0.8,,0.95,"chance of having good learning material for class (notes, visual aid, etc) (%)",
